Entry,M_d1_C,M_d3_C,M_d6_C,O_d1_C,O_d3_C,O_d6_C,O_d7_C,O_d8_C,Past_d1_C,Past_d2_C,Past_d3_C,Past_d6_C,Past_d7_C,Pstr_d7_C
O58307,0,0,0,0,0,0,0,0,0,1,0,0,0,0
O59028,202,183,267,131,197,263,94,163,0,0,0,0,0,0
O59223,0,0,0,0,6,0,0,0,0,0,0,0,0,0
O59713,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O59722,28,33,20,14,29,55,34,53,0,0,0,0,0,0
O59731,39,19,42,0,1,1,0,0,0,0,0,0,0,0
O59737,0,4,7,1,9,2,0,1,0,0,0,0,0,0
O59768,4,10,9,0,0,0,0,0,0,0,0,0,0,0
O59790,42,88,50,41,102,105,54,166,0,0,0,0,0,0
O59801,13.683,20,9,27.119,37,18,0,26,0,0,0,0,0,0
O59838,1,2,0,0,0,0,0,2.489,0,1,0,0,0,0
O59845,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O59855,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O59922,0,2,0,0,2,0,0,1,1,2,0,0,0,0
O59952,2,0,1,59,69,115,32,137,0,0,0,0,0,0
O60029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O60041,34,85,39,49,121,51,29,67,0,0,0,0,0,0
O60055,42,35,30,40,49,35,41,58,0,0,0,0,0,0
O60066,5,5,25,645.009,1027,911.992,437.046,860,0,0,0,0,0,0
O60073,1,2,2,0,0,1,0,6,0,0,0,0,0,0
O60084,1,1,0,1,0,0,1,0,0,0,0,0,0,0
O60094,4,0,4,4,5,1,5,5,0,0,0,0,0,0
O60103,0,0,0,0,1,0,0,0,0,0,0,0,0,0
O60160,15,8,9,4,3,1,0,13,0,0,0,0,0,0
O60161,0,0,0,0,0,0,0,1,0,0,0,0,0,0
O60178,1,1,1,0,0,0,0,4,0,0,0,0,0,0
O60182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
